date,sp500,nasdaq,shanghai,vix,sp500_return,nasdaq_return,shanghai_return,sp500_log_return,nasdaq_log_return,shanghai_log_return
2018-03-02,2691.25,7257.8701171875,3254.528076171875,19.59000015258789,0.005071602744632031,0.010766577810490618,-0.005873013505552138,0.005058785485198549,0.010709030898665704,-0.005890327472761176
2018-03-05,2720.93994140625,7330.7099609375,3256.926025390625,18.729999542236328,0.011032026532745043,0.010035980607796535,0.0007368039736104226,0.01097161761052657,0.009985954582790477,0.0007365326668210927
2018-03-06,2728.1201171875,7372.009765625,3289.64208984375,18.36000061035156,0.002638858606169414,0.005633806944698394,0.010045074465331538,0.0026353829319968104,0.005617996408895345,0.009994958040856901
2018-03-07,2726.800048828125,7396.64990234375,3271.66796875,17.760000228881836,-0.00048387472056610203,0.003342390677999907,-0.005463853088833681,-0.000483991825716375,0.003336817305749764,-0.005478834529970772
2018-03-08,2738.969970703125,7427.9501953125,3288.406005859375,16.540000915527344,0.004463078207817217,0.004231685071214741,0.005116056173563921,0.004453148208884627,0.0042227566711994504,0.005103013623543662
2018-03-09,2786.570068359375,7560.81005859375,3307.166015625,14.640000343322754,0.01737883151892694,0.01788647739790883,0.0057048946304676384,0.017229546741207587,0.01772839658381549,0.005688683345653607
2018-03-12,2783.02001953125,7588.31982421875,3326.698974609375,15.779999732971191,-0.001273985129042532,0.003638468022845176,0.005906252934412715,-0.001274797337998416,0.003631864810273344,0.005888879397322278
2018-03-13,2765.31005859375,7511.009765625,3310.239013671875,16.350000381469727,-0.006363576551088879,-0.01018803376565769,-0.004947835996923278,-0.006383910414314703,-0.01024028698970021,-0.004960117064000553
2018-03-14,2749.47998046875,7496.81005859375,3291.382080078125,17.229999542236328,-0.005724521948562322,-0.0018905190479496792,-0.005696547444419386,-0.005740969825188786,-0.0018923083345609277,-0.005712834654173731
2018-03-15,2747.330078125,7481.740234375,3291.112060546875,16.59000015258789,-0.000781930531963182,-0.002010164870253739,-8.20383427632132e-05,-0.0007822363990965508,-0.002012187963278203,-8.204170809211346e-05
2018-03-16,2752.010009765625,7481.990234375,3269.882080078125,15.800000190734863,0.001703447167811456,3.341468591111507e-05,-0.006450701184943064,0.0017019979472317418,3.3414127652933785e-05,-0.00647159686750716
2018-03-19,2712.919921875,7344.240234375,3279.251953125,19.020000457763672,-0.014204195388793028,-0.018410876743346405,0.0028655079349684254,-0.014306040541373417,-0.018582466273706987,0.002861410193313461
2018-03-20,2716.93994140625,7364.2998046875,3290.639892578125,18.200000762939453,0.0014818054520648882,0.0027313336263987686,0.003472724760374968,0.0014807086617189258,0.00272761031290941,0.0034667087756272345
2018-03-21,2711.929931640625,7345.2900390625,3280.951904296875,17.860000610351562,-0.0018439898833508828,-0.0025813405387026256,-0.0029441046718909902,-0.0018456921256294063,-0.0025846779427457257,-0.002948447073134044
2018-03-22,2643.68994140625,7166.68017578125,3263.47998046875,23.34000015258789,-0.025162888405856454,-0.024316243787705694,-0.0053252605761282545,-0.025484886972854417,-0.024616765349244556,-0.0053394903167636705
2018-03-23,2588.260009765625,6992.669921875,3152.760986328125,24.8700008392334,-0.02096688071186603,-0.024280454776577365,-0.03392666564625957,-0.02118980731175066,-0.02458008506782245,-0.03451553217099072
2018-03-26,2658.550048828125,7220.5400390625,3133.721923828125,21.030000686645508,0.02715725576151251,0.0325869974892794,-0.006038853748369322,0.02679504070603539,0.03206730137297476,-0.006057161367567211
2018-03-27,2612.6201171875,7008.81005859375,3166.64892578125,22.5,-0.017276308813847896,-0.029323288746175402,0.010507314545925572,-0.0174272856453219,-0.029761810254837467,0.010452496376583062
