event_id,event_date,anchor_date,window_label,relative_day,market_date,event_type,event_group,description,sp500,nasdaq,shanghai,vix,sp500_return,nasdaq_return,shanghai_return,sp500_log_return,nasdaq_log_return,shanghai_log_return
E07,2018-09-24,2018-09-24,m5_p5,-3,2018-09-19,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2907.949951171875,7950.0400390625,2730.85009765625,11.75,0.0012532727238796,-0.0007629135749825,0.0114447108439781,0.0012524880331719,-0.0007632047416434,0.0113797155721336
E07,2018-09-24,2018-09-24,m5_p5,-2,2018-09-20,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2930.75,8028.22998046875,2729.243896484375,11.800000190734863,0.0078405918984048,0.0098351632220798,-0.0005881689270508,0.007810014185329,0.0097871128032128,-0.0005883419662483
E07,2018-09-24,2018-09-24,m5_p5,-1,2018-09-21,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2929.669921875,7986.9599609375,2797.485107421875,11.68000030517578,-0.0003685330120276,-0.0051406125175352,0.0250037056143657,-0.000368600937007,-0.0051538709231317,0.024696227817364
E07,2018-09-24,2018-09-24,m5_p5,0,2018-09-24,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2919.3701171875,7993.25,,12.199999809265137,-0.0035156877607932,0.0007875385745343,,-0.0035218823140138,0.00078722862875,
E07,2018-09-24,2018-09-24,m5_p5,1,2018-09-25,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2915.56005859375,8007.47021484375,2781.138916015625,12.420000076293944,-0.0013050961134796,0.001779027910268,-0.0058431737001504,-0.0013059484931179,0.0017774473144537,-0.0058603118329295
E07,2018-09-24,2018-09-24,m5_p5,2,2018-09-26,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2905.969970703125,7990.3701171875,2806.81298828125,12.890000343322754,-0.003289278113945,-0.002135518109646,0.0092314958155368,-0.0032946996811599,-0.0021378015799517,0.0091891459933223
E07,2018-09-24,2018-09-24,m5_p5,3,2018-09-27,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2914.0,8041.97021484375,2791.77490234375,12.40999984741211,0.002763287087558,0.0064577856719374,-0.0053577085471264,0.0027594762285113,0.0064370235111638,-0.0053721125388604
E07,2018-09-24,2018-09-24,m5_p5,4,2018-09-28,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2913.97998046875,8046.35009765625,2821.35009765625,12.119999885559082,-6.870120538793323e-06,0.0005446280818617,0.0105936890856319,-6.870144138179519e-06,0.0005444798258151,0.0105379691358402
E07,2018-09-24,2018-09-24,m5_p5,5,2018-10-01,tariff_implementation,escalation,US implements tariffs on 200 billion dollars of Chinese imports,2924.590087890625,8037.2998046875,,12.0,0.0036411051184257,-0.0011247699713421,,0.0036344923421985,-0.0011254029998051,
E08,2018-12-19,2018-12-19,m1_p1,-1,2018-12-18,suspension,relief,US postpones the scheduled increase of List 3 tariffs,2546.159912109375,6783.91015625,2576.64990234375,25.57999992370605,8.640058610476231e-05,0.0044686678129757,-0.0082080181541694,8.639685378910398e-05,0.0044587129625599,-0.0082418894064147
E08,2018-12-19,2018-12-19,m1_p1,0,2018-12-19,suspension,relief,US postpones the scheduled increase of List 3 tariffs,2506.9599609375,6636.830078125,2549.56298828125,25.57999992370605,-0.0153957145367981,-0.0216807231725342,-0.0105124541901721,-0.0155154591759368,-0.0219192032996503,-0.010568100365539
E08,2018-12-19,2018-12-19,m1_p1,1,2018-12-20,suspension,relief,US postpones the scheduled increase of List 3 tariffs,2467.419921875,6528.41015625,2536.26806640625,28.3799991607666,-0.0157721063274236,-0.0163361003067341,-0.005214588514231,-0.0158978094841039,-0.0164710056289872,-0.0052282319314567
E08,2018-12-19,2018-12-19,m3_p3,-3,2018-12-14,suspension,relief,US postpones the scheduled increase of List 3 tariffs,2599.949951171875,6910.66015625,2593.740966796875,21.6299991607666,-0.0190867095554303,-0.0225830930254593,-0.0153027162223974,-0.0192712122686998,-0.0228419963884453,-0.0154210111585052
E08,2018-12-19,2018-12-19,m3_p3,-2,2018-12-17,suspension,relief,US postpones the scheduled increase of List 3 tariffs,2545.93994140625,6753.72998046875,2597.97412109375,24.520000457763672,-0.0207734805592242,-0.0227084203582667,0.0016320651719137,-0.0209922848285766,-0.0229702276145715,0.0016307348008558
E08,2018-12-19,2018-12-19,m3_p3,-1,2018-12-18,suspension,relief,US postpones the scheduled increase of List 3 tariffs,2546.159912109375,6783.91015625,2576.64990234375,25.57999992370605,8.640058610476231e-05,0.0044686678129757,-0.0082080181541694,8.639685378910398e-05,0.0044587129625599,-0.0082418894064147
E08,2018-12-19,2018-12-19,m3_p3,0,2018-12-19,suspension,relief,US postpones the scheduled increase of List 3 tariffs,2506.9599609375,6636.830078125,2549.56298828125,25.57999992370605,-0.0153957145367981,-0.0216807231725342,-0.0105124541901721,-0.0155154591759368,-0.0219192032996503,-0.010568100365539
E08,2018-12-19,2018-12-19,m3_p3,1,2018-12-20,suspension,relief,US postpones the scheduled increase of List 3 tariffs,2467.419921875,6528.41015625,2536.26806640625,28.3799991607666,-0.0157721063274236,-0.0163361003067341,-0.005214588514231,-0.0158978094841039,-0.0164710056289872,-0.0052282319314567
E08,2018-12-19,2018-12-19,m3_p3,2,2018-12-21,suspension,relief,US postpones the scheduled increase of List 3 tariffs,2416.6201171875,6332.990234375,2516.2509765625,30.11000061035156,-0.0205882283097142,-0.029933769049102,-0.0078923399733976,-0.0208031204985406,-0.0303909304848133,-0.0079236493334056
E08,2018-12-19,2018-12-19,m3_p3,3,2018-12-24,suspension,relief,US postpones the scheduled increase of List 3 tariffs,2351.10009765625,6192.919921875,2527.007080078125,36.06999969482422,-0.0271122544520995,-0.0221175633178318,0.004274654482328,-0.0274865728783144,-0.0223658240643109,0.0042655441001197
E08,2018-12-19,2018-12-19,m5_p5,-5,2018-12-12,suspension,relief,US postpones the scheduled increase of List 3 tariffs,2651.070068359375,7098.31005859375,2602.153076171875,21.459999084472656,0.0054195036763498,0.009454150588132,0.0031090641053537,0.0054048710103512,0.0094097397979047,0.0031042409599411
E08,2018-12-19,2018-12-19,m5_p5,-4,2018-12-13,suspension,relief,US postpones the scheduled increase of List 3 tariffs,2650.5400390625,7070.330078125,2634.049072265625,20.64999961853028,-0.0001999303236835,-0.0039417805418171,0.0122575402599578,-0.000199950312415,-0.0039495698345967,0.01218302491198
E08,2018-12-19,2018-12-19,m5_p5,-3,2018-12-14,suspension,relief,US postpones the scheduled increase of List 3 tariffs,2599.949951171875,6910.66015625,2593.740966796875,21.6299991607666,-0.0190867095554303,-0.0225830930254593,-0.0153027162223974,-0.0192712122686998,-0.0228419963884453,-0.0154210111585052
