window_label,excluded_event_id,n_remaining,full_mean_car,loo_mean_car,delta_mean_car,full_median_car,loo_median_car,delta_median_car
m3_p3,E04,23,-0.001643600192147921,-0.0027086951806309435,-0.0010650949884830224,0.0048262485038498,0.004135866715229,-0.0006903817886208001
m3_p3,E05,23,-0.001643600192147921,-0.0026626235751279694,-0.0010190233829800483,0.0048262485038498,0.004135866715229,-0.0006903817886208001
m3_p3,E06,23,-0.001643600192147921,-0.0022378855290005393,-0.0005942853368526182,0.0048262485038498,0.004135866715229,-0.0006903817886208001
m3_p3,E07,23,-0.001643600192147921,-0.0016417292145974607,1.8709775504604544e-06,0.0048262485038498,0.0055166302924706,0.0006903817886207992
m3_p3,E08,23,-0.001643600192147921,0.003078274776684665,0.004721874968832586,0.0048262485038498,0.0055166302924706,0.0006903817886207992
m3_p3,E09,23,-0.001643600192147921,-0.0002181981517966045,0.0014254020403513166,0.0048262485038498,0.0055166302924706,0.0006903817886207992
m3_p3,E10,23,-0.001643600192147921,-3.078847294635603e-05,0.001612811719201565,0.0048262485038498,0.0055166302924706,0.0006903817886207992
m3_p3,E11,23,-0.001643600192147921,-0.0022143149691132864,-0.0005707147769653653,0.0048262485038498,0.004135866715229,-0.0006903817886208001
m3_p3,E12,23,-0.001643600192147921,-0.003451587065493652,-0.001807986873345731,0.0048262485038498,0.004135866715229,-0.0006903817886208001
m3_p3,E13,23,-0.001643600192147921,-0.0038711207356874134,-0.0022275205435394923,0.0048262485038498,0.004135866715229,-0.0006903817886208001
m3_p3,E14,23,-0.001643600192147921,-0.0021943522945976957,-0.0005507521024497746,0.0048262485038498,0.004135866715229,-0.0006903817886208001
m3_p3,E15,23,-0.001643600192147921,-0.0022558604283539783,-0.0006122602362060572,0.0048262485038498,0.004135866715229,-0.0006903817886208001
m3_p3,E16,23,-0.001643600192147921,-0.001954914561044378,-0.0003113143688964568,0.0048262485038498,0.004135866715229,-0.0006903817886208001
m3_p3,E17,23,-0.001643600192147921,-0.0015553317514000863,8.826844074783478e-05,0.0048262485038498,0.0055166302924706,0.0006903817886207992
m3_p3,E18,23,-0.001643600192147921,-0.0011923634121680082,0.00045123677997991295,0.0048262485038498,0.0055166302924706,0.0006903817886207992
m3_p3,E19,23,-0.001643600192147921,-0.0018948813620338738,-0.00025128116988595264,0.0048262485038498,0.0055166302924706,0.0006903817886207992
m3_p3,E20,23,-0.001643600192147921,-0.002132673728650178,-0.0004890735365022567,0.0048262485038498,0.004135866715229,-0.0006903817886208001
m3_p3,E21,23,-0.001643600192147921,-0.001190329091269817,0.00045327110087810415,0.0048262485038498,0.0055166302924706,0.0006903817886207992
